ID,Title,Forum,DateTime,Message
4160382,AIBU to ask where your buy your underwear?,am_i_being_unreasonable,2021-02-09 12:48:05.000 +0000,"I bought these off Amazon - comfiest knickers Iâ€™ve ever had!
[[https://www.amazon.co.uk/gp/product/B07MTCDPXB/ref=ppx_yo_dt_b_asin_title_o00_s00?psc=1&tag=mumsnetforu03-21&ie=UTF8]]"
4159534,DH lost laptop and now assignment will be late,am_i_being_unreasonable,2021-02-08 20:32:56.000 +0000,"Yay! Glad you found the laptop!

Perhaps have a rule that he's not allowed to borrow your laptop at all. Sounds harsh but if it's that vital for your course maybe it needs to be off limits so this doesn't happen again. There's no way he can guarantee that he won't place it somewhere random again (without thinking) at a vital moment for you so you have this stress again.  

I have ADHD btw. I wouldn't want responsibility for something so important to someone else. He should have his own laptop that he can then leave where he wants. 

One further thought - I found this book amazing for ADHD friendly organisation tips. The best book I've read and has really helped me at home:

[[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H https://www.amazon.co.uk/dp/1592335128/ref=cm]][[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H sw]]w_[[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H r]][[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H cp]]p_[[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H awdb]][[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H imm]]m_[[https://www.amazon.co.uk/dp/1592335128/ref=cm_sw_r_cp_awdb_imm_t1_V0JPA9QCXBY9WEBT917H t1_V0JPA9QCXBY9WEBT917H]]

And he really has to stop the major organisation all at once. I have done this soooo many times and have realised I have to do small bits at a time. Otherwise I end up with EVERYTHING out everywhere and then lose all momentum and get really overwhelmed and don't know what to do with anything.  And then it sits there for weeks and weeks. No massive sort outs needs to be the rule. 

And if you need to do one, do a planned one together. I find it much easier to sort the garage for example if my husband is able to help keep me on track and focussed on the task and not get sidetracked and also he helps when I get stuck and don't know what to do with something. Which can lead to buffering. 

Anyway waffling again. So will go now. Hope some of that helps! 

"
4160824,Best padded playmat company?,parenting,2021-02-09 21:28:03.000 +0000,"Learn from my mistakes- they pull the tile kind up and chew them. We have this one -  Baby Foam Play Mat, Bammax Playmat Baby Crawling Mat for Floor Baby Mat Large Soft Extra Thick (1.5cm), Water-Proof Reversible Non-Toxic, 177 x 197 cm [[https://www.amazon.co.uk/dp/B07XZ8C29G/ref=cm_sw_r_cp_api_fabc_8R6ZMRRP3MD1RVBS14BQ?psc=1&_encoding=UTF8&tag=mumsnetforu03-21]] Itâ€™s brilliant, been used every day for over a year and folds away easily every night."
4160824,Best padded playmat company?,parenting,2021-02-09 22:03:36.000 +0000,"I got this one from Amazon:

[[https://www.amazon.co.uk/Reversible-Waterproof-Portable-Colorful-150x180x1in/dp/B07797XMH9/ref=mp_s_a_1_6?dchild=1&keywords=folding+playmats+for+baby&sprefix=folding+playmat&tag=mumsnetforu03-21&qid=1612907973&sr=8-6]]

Much easier to fold away every night and I really didn't want those garish bright tiles.

If you have a cat, bear in mind that they love getting their claws into them!"
4154319,What fun stuff can we get delivered for the family?,_chat,2021-02-04 23:13:42.000 +0000,"Chocolate fondue is cheaper than buying a chocolate fountain, we do a family one for dessert on Valentine's Day. Buy a mixture of fruit and cookies/waffers/pretzels etc for dipping.

[[https://www.amazon.co.uk/KitchenCraft-Chocolate-Fondue-Set-Ceramic/dp/B000IKUBII/ref=pd_sbs_4?psc=1&pf_rd_p=92878142-c05c-4f4d-82b6-21f96d3338d3&pf_rd_r=EZ0MSGJR3N1JT5J4ME4F&pd_rd_wg=uOpfg&pd_rd_i=B000IKUBII&pd_rd_w=cTpZI&tag=mumsnetforu03-21&pd_rd_r=c7e4caff-584f-4dc6-8bb9-bba79925f674]]"
4154319,What fun stuff can we get delivered for the family?,_chat,2021-02-02 20:12:52.000 +0000,"We bought these Nerf laser guns they work brilliantly - 
Nerf E2281 Laser Ops 2 pack Combat Blaster [[https://smile.[[amazon.co.uk/dp/B076JGYZYC/ref=cm_sw_r_em_apa_fabc_R4TTAX2Y23ACYQKEDJTH?tag=mumsnetforu03-21 amazon.co.uk/dp/B076JGYZYC/ref=cm_sw_r_em_apa_fabc_R4TTAX2Y23ACYQKEDJTH]]]]
The woodland trust has a good schools website with activity sheets to spot wildlife and identify trees. 
[[http://www.treetoolsforschools.org.uk/categorymenu/?cat=animals&name=Animals&col=942B91]]"
4061589,4 weeks today!,pregnancy,2021-02-07 12:50:02.000 +0000," no lose blankets, we are getting the bedside crib and a summer baby gro sleep bag. It will be June when she arrives so just that one tog with a vest this is bedside crib we are getting 


https://www.amazon.co.uk/dp/B07Q6J75PW/ref=cmswrwaapiiBMKAPE9RH7AMGTWS9W10?encoding=UTF8&psc=1

With 

https://www.amazon.co.uk/Tommee-Tippee-Original-Newborn-49129801/dp/B082QG5665/ref=ascdf_B082QG5665/?tag=googshopuk-21&linkCode=df0&hvadid=398666527122&hvpos=&hvnetw=g&hvrand=11200086766917071426&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=1006886&hvtargid=pla-872076093590&psc=1&th=1&psc=1&tag=&ref=&adgrpid=82769826365&hvpone=&hvptwo=&hvadid=398666527122&hvpos=&hvnetw=g&hvrand=11200086766917071426&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=1006886&hvtargid=pla-872076093590


 oooh congratulations xxx"
4145682,Does anybody know what this type of nut and screw is called?,property,2021-01-24 18:27:05.000 +0000,[[https://www.amazon.co.uk/Falcon-Workshop-Supplies-FURNITURE-ASSEMBLY/dp/B00FCUQ3F4/ref=asc_df_B00FCUQ3F4/?hvlocphy=9045258&hvlocphy=9045258&linkCode=df0&hvptwo&hvptwo&psc=1&hvnetw=g&hvnetw=g&hvadid=410504097720&hvadid=410504097720&hvpone&hvpone&hvlocint&hvlocint&ref&hvpos&hvpos&hvdev=m&hvdev=m&hvdvcmdl&hvdvcmdl&hvqmt&hvqmt&tag=mumsnetforu03-21&hvtargid=pla-700002721833&hvtargid=pla-700002721833&hvrand=18239482301563515709&hvrand=18239482301563515709&adgrpid=89992321153 like these?]]
4144686,Red Snoopy motif sweatshirt,style_and_beauty,2021-01-23 17:26:14.000 +0000,"[[https://www.amazon.co.uk/snoopy-sweatshirt/s?rnid=14223218031&ref=sr_nr_p_n_size_two_browse-vebin_6&rh=n%3A83450031%2Cp_n_size_two_browse-vebin%3A14223224031&k=snoopy+sweatshirt&tag=mumsnetforu03-21&qid=1611422674&dc]]

[[https://www.etsy.com/uk/listing/769919267/snoopy-hoodie-the-peanuts-sweater?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=red+snoopy+sweatshirt&ref=sr_gallery-1-18&organic_search_click=1&pro=1&frs=1&col=1]]"
4143110,What training is needed?,the_doghouse,2021-01-22 09:39:34.000 +0000,"I would consider whistle training, but if your MIL is going to refuse to keep them on at least a longline during training, itâ€™s going to be difficult, as they will continue to reinforce the behaviour you donâ€™t want, which will undermine training.  Also a lot of the groundwork is done at home, so youâ€™d need MIL to put the time and effort in while you arenâ€™t around as well as on walks.

If you do want to give it a go I would recommend [[https://www.amazon.co.uk/Total-Recall-Perfect-Response-Training/dp/1846891493/ref=sr_1_1?dchild=1&crid=1K46UY61CBOWH&keywords=total+recall+pippa+mattinson&sprefix=Total+recal%2Caps%2C169&tag=mumsnetforu03-21&qid=1611308081&sr=8-1 Total Recall by Pippa Mattinson]].  

In addition to whistle training, ideally, you need to teach them that staying with you and you MIL is far more fun and rewarding than running after every person/dog they see on the horizon.  What do they love most, food/toys/attention?  Use whichever it is or a mix of them to get them focussed on you and ignore the distraction.  Again though, lots of groundwork to be done at home before they would be reliable enough to allow off on walks and if MIL is unwilling to have them on a lead/longline itâ€™s going to be difficult."
